	recetox_cid	iupac_inchi	smiles
0	0	InChI=1S/C9H17NO4/c1-7(11)14-8(5-9(12)13)6-10(2,3)4/h8H,5-6H2,1-4H3	[O-]C(=O)CC(C[N+](C)(C)C)OC(=O)C
1	1	InChI=1S/C7H8O4/c8-5-3-1-2-4(6(5)9)7(10)11/h1-3,5-6,8-9H,(H,10,11)	OC1C=CC=C(C1O)C(=O)O
2	3	InChI=1S/C3H8NO5P/c4-1-3(5)2-9-10(6,7)8/h1-2,4H2,(H2,6,7,8)	NCC(=O)COP(=O)(O)O
3	4	InChI=1S/C6H3ClN2O4/c7-5-2-1-4(8(10)11)3-6(5)9(12)13/h1-3H	O=N(=O)c1ccc(c(c1)N(=O)=O)Cl
4	5	InChI=1S/C7H9N5/c1-2-12-4-11-5-6(8)9-3-10-7(5)12/h3-4H,2H2,1H3,(H2,8,9,10)	CCn1cnc2c1ncnc2N
5	6	InChI=1S/C6H12O4/c1-3-6(2,10)4(7)5(8)9/h4,7,10H,3H2,1-2H3,(H,8,9)	CCC(C(C(=O)O)O)(O)C
6	8	InChI=1S/C6H6O4/c7-3-1-4(8)6(10)5(9)2-3/h1-2,7-10H	Oc1cc(O)c(c(c1)O)O
7	9	InChI=1S/C6H3Cl3/c7-4-1-2-5(8)6(9)3-4/h1-3H	Clc1ccc(c(c1)Cl)Cl
8	10	InChI=1S/C20H32O5/c1-2-3-6-9-15(21)12-13-17-16(18(22)14-19(17)23)10-7-4-5-8-11-20(24)25/h12-13,16-17,19,23H,2-11,14H2,1H3,(H,24,25)	CCCCCC(=O)C=CC1C(O)CC(=O)C1CCCCCCC(=O)O
9	11	InChI=1S/C12H22N2O2/c15-11-7-3-1-5-9-13-12(16)8-4-2-6-10-14-11/h1-10H2,(H,13,16)(H,14,15)	OC1=NCCCCCC(=NCCCCC1)O
10	12	InChI=1S/C7H7NO4/c9-6(10)4-2-1-3-5(8-4)7(11)12/h1-2,5H,3H2,(H,9,10)(H,11,12)	OC(=O)C1CC=CC(=N1)C(=O)O
11	13	InChI=1S/C6H8O7/c7-1-2(8)3(9)4(10)5(11)6(12)13/h2-3,7-9H,1H2,(H,12,13)	OCC(C(C(=O)C(=O)C(=O)O)O)O
12	14	InChI=1S/C7H6O4/c8-5-3-1-2-4(6(5)9)7(10)11/h1-3,8-9H,(H,10,11)	OC(=O)c1cccc(c1O)O
13	15	InChI=1S/C9H10O4/c10-7-3-1-2-6(9(7)13)4-5-8(11)12/h1-3,10,13H,4-5H2,(H,11,12)	OC(=O)CCc1cccc(c1O)O
14	16	InChI=1S/C5H8O4/c1-3(6)5(2,9)4(7)8/h9H,1-2H3,(H,7,8)	CC(=O)C(C(=O)O)(O)C
15	17	InChI=1S/C7H7NO5/c8-5(7(12)13)4(6(10)11)2-1-3-9/h1-3H,8H2,(H,10,11)(H,12,13)	O=CC=CC(=C(C(=O)O)N)C(=O)O
16	18	InChI=1S/C6H7NO4/c7-4(6(10)11)2-1-3-5(8)9/h1-3H,7H2,(H,8,9)(H,10,11)	OC(=O)C=CC=C(C(=O)O)N
17	19	InChI=1S/C3H5NO3/c4-2(1-5)3(6)7/h1-2H,4H2,(H,6,7)	O=CC(C(=O)O)N
18	22	InChI=1S/C6H5ClO4/c7-6(3-4(8)9)2-1-5(10)11-6/h1-2H,3H2,(H,8,9)	OC(=O)CC1(Cl)C=CC(=O)O1
19	23	InChI=1S/C7H12O5/c1-3(2)4(6(9)10)5(8)7(11)12/h3-5,8H,1-2H3,(H,9,10)(H,11,12)	CC(C(C(C(=O)O)O)C(=O)O)C
20	24	InChI=1S/C6H10O4/c1-6(2,3-7)4(8)5(9)10/h7H,3H2,1-2H3,(H,9,10)	OCC(C(=O)C(=O)O)(C)C
21	25	InChI=1S/C6H8O3/c1-6(2)3-9-5(8)4(6)7/h3H2,1-2H3	O=C1C(=O)OCC1(C)C
22	26	InChI=1S/C6H12O5/c7-2-4-6(10)3(8)1-5(9)11-4/h3-10H,1-2H2	OCC1OC(O)CC(C1O)O
23	27	InChI=1S/C6H11O6PS/c1-14-3-2-5(7)6(8)4-12-13(9,10)11/h4,8H,2-3H2,1H3,(H2,9,10,11)	CSCCC(=O)C(=COP(=O)(O)O)O
24	28	InChI=1S/C5H8O5/c6-3(5(9)10)1-2-4(7)8/h3,6H,1-2H2,(H,7,8)(H,9,10)	OC(=O)CCC(C(=O)O)O
25	29	InChI=1S/C3H4O5/c4-1(2(5)6)3(7)8/h1,4H,(H,5,6)(H,7,8)/p-2	OC(C(=O)O)C(=O)O
26	30	InChI=1S/C3H4O5/c4-1(2(5)6)3(7)8/h1,4H,(H,5,6)(H,7,8)	OC(C(=O)O)C(=O)O
27	31	InChI=1S/C6H10O3/c1-3-4(2)5(7)6(8)9/h4H,3H2,1-2H3,(H,8,9)	CC(C(=O)C(=O)O)CC
28	32	InChI=1S/C5H7NO4/c6-4(8)2-1-3(7)5(9)10/h1-2H2,(H2,6,8)(H,9,10)	OC(=N)CCC(=O)C(=O)O
29	33	InChI=1S/C5H8O3/c1-3(2)4(6)5(7)8/h3H,1-2H3,(H,7,8)	CC(C(=O)C(=O)O)C
30	34	InChI=1S/C6H10O7/c7-1-2(8)3(9)4(10)5(11)6(12)13/h2-4,7-10H,1H2,(H,12,13)	OCC(C(C(C(=O)C(=O)O)O)O)O
31	35	InChI=1S/C5H6O5/c6-3(5(9)10)1-2-4(7)8/h1-2H2,(H,7,8)(H,9,10)	OC(=O)CCC(=O)C(=O)O
32	36	InChI=1S/C4H6O3/c1-2-3(5)4(6)7/h2H2,1H3,(H,6,7)	CCC(=O)C(=O)O
33	37	InChI=1S/C3H7O7P/c4-1-2(3(5)6)10-11(7,8)9/h2,4H,1H2,(H,5,6)(H2,7,8,9)	OCC(C(=O)O)OP(=O)(O)O
34	38	InChI=1S/C3H8O10P2/c4-3(5)2(13-15(9,10)11)1-12-14(6,7)8/h2H,1H2,(H,4,5)(H2,6,7,8)(H2,9,10,11)	OC(=O)C(OP(=O)(O)O)COP(=O)(O)O
35	39	InChI=1S/C6H5Cl3O/c7-3-1-5(9)6(10)2-4(3)8/h1-3,6,10H	ClC1=CC(Cl)C(=CC1O)Cl
36	40	InChI=1S/C5H12N2O2/c1-3(6)2-4(7)5(8)9/h3-4H,2,6-7H2,1H3,(H,8,9)	CC(CC(C(=O)O)N)N
